Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,HtoM,atomic_mass_weighted,atomic_radius_weighted,melting_point_weighted,PC1,PC2,PC3
AB2,Zr0.2Ti0.8Mn1.5Cu0.5,1.6,27.0,30.0,3.0,98.198856643679,2.5066921401854296,0.91896401155002,0.917959669527251,58.83191065449927,1.4067249315016255,1648.7353586541537,-1.8324618923755065,0.19440238022225192,-1.0395012143940245
AB2,Zr0.2Ti0.8Mn1.5Fe0.5,1.7,25.4,30.0,11.0,103.72338673624576,9.289575147207117,2.2288928195095017,0.9543036674726972,57.43450181073871,1.4164005113803522,1731.289709827022,-2.2175213782424095,0.37462601031518855,-0.861496174684248
AB2,Zr0.2Ti0.8Mn1.5V0.5,2.0,45.6,30.0,0.5,144.65764799979453,0.3691496507046181,-0.9965531596927206,1.109600863162726,56.698572208413914,1.4088992589797291,1787.7299408283734,-2.0373283351336777,0.365076485216547,-0.6485754073774818
AB2,Zr0.2Ti0.8Mn1.6V0.2Cr0.2,1.9,30.5,20.0,2.0,109.80523503382749,2.46700730154209,0.9030057972275136,1.0569568656321968,56.87677438077595,1.41349662665684,1766.8985231682864,-2.1603433545519533,0.3835246644513075,-0.7852730285685368
AB2,Zr0.2Ti0.8Mn1.7V0.2Mo0.1,2.0,35.0,14.0,1.0,121.8875152359394,1.7175130066404791,0.5408773180932493,1.145363463043948,59.32131889750982,1.4159502636462642,1797.3893396954518,-2.1497244834045834,0.37838759943793293,-0.8019347498101024
AB2,Zr0.2Ti0.8Mn1.8Mo0.2,1.7,29.0,20.0,4.0,110.45133651827751,4.883352942000587,1.585832062213646,0.9986076047436044,61.684318449122586,1.421167268097843,1826.4930274699784,-2.2262680301338067,0.3879581894269274,-0.9038608732852431
AB2,Zr0.2Ti0.8Mn0.2V0.6Fe0.2Ni0.8Pd0.1,1.3,46.5,25.0,0.01,117.6736470642801,0.01,-4.60517018598809,0.7518152571414152,60.951786370335974,1.3931722161305322,1902.1425275887602,-1.1167407756119359,0.07552551320903686,-0.5584280218951113
AB2,Zr0.05Ti0.95Mn0.8Cr1.2,1.7,21.9,20.0,5.5,88.87932871667212,6.394469394237009,1.8554334596161208,0.8943273419291986,52.76640533251047,1.404375094952631,1923.2122564737983,-2.2715624503838403,0.4297753331072457,-0.7494544039553693
AB2,Ti1V1.4Ni0.6,2.9,28.8,60.0,0.4,78.82935931535464,0.1180231535085358,-2.136874457590316,1.5249214863311156,51.75641709825458,1.3655008570532574,2004.1987800090078,-1.0883590193801373,0.13512651771974551,-0.19333249194925417
AB2,Ti1V1.6Ni0.4,3.3,33.2,120.0,1.0,84.44614015006997,0.0393086315930461,-3.2363111508119644,1.7249371727318987,51.16935006423259,1.365658083741291,2037.3284128911102,-1.2024439000473697,0.194716857313106,-0.05813321097207709
AB2,Ti1V1.8Ni0.2,3.6,35.3,90.0,0.08,76.20570216351969,0.0062535522340121,-5.074605619245799,1.8684595435684648,50.57025163956627,1.365818532643474,2071.1370066618474,-1.3165287807146022,0.2543071969064667,0.07706607000510038
AB2,TmFe2,1.6,56.8,80.0,0.003,112.54003227376724,8.45853395673871e-05,-9.377749597534384,1.5089270120875813,123.92407397182195,1.6106980488247966,1815.2139609764959,-2.209863634447367,0.3276143567376222,-0.8593330949414351
AB2,UAlNi,0.5,74.6,100.0,0.0003,132.47740632726962,7.082643601003493e-07,-14.160448422973134,0.537914188335859,187.92078280088572,1.6357964480191234,1424.483154136778,0.7108337535637342,-0.7493890417223648,-0.15112449094340275
AB2,Zr1Cr0.5Fe1.5,1.4,25.6,45.0,3.0,89.59922662342105,1.5673757863719104,0.4494027472411181,0.9437192453609796,71.40476418353592,1.4680811514827512,2002.6084117308587,-2.2436842395254444,0.37675606240669723,-0.7461209228229884
AB2,Zr1Mn0.48V0.48Ni1.44,1.6,39.9,30.0,0.3,121.60798955885843,0.2300512805339951,-1.4694530360671134,1.0749236979344583,70.51780683331447,1.4363475864253608,1913.8358477217457,-0.8385163217306761,-0.0606338395781027,-0.9011143870642255
AB2,Zr0.5Ti0.5Cr1Fe1,1.8,27.0,23.0,4.0,102.69588693415672,4.305323097844682,1.459852186827605,1.07522669964116,62.7375031299433,1.4385699934493361,2018.213622111253,-2.245983339273025,0.4058736590960877,-0.6836026946464167
AB2,Ho0.4Zr0.6Co2,1.0,29.3,50.0,2.0,96.43290337692665,0.8014902012593528,-0.2212825325102524,0.7969006132756132,95.65267602392744,1.506496099863271,1841.1907535623968,-0.7003078807105858,0.013829323281311947,0.7698321458839154
AB2,Zr0.76Ti0.24Mn0.63V0.14Fe0.18Ni1.16,1.6,29.7,30.0,5.0,111.35242404057747,4.103436558396678,1.4118248076042024,1.040988705263909,68.24551399680095,1.4330782740150483,1862.6536793047585,-1.087946347271918,0.002152544655565146,-0.9860761989976935
AB2,Zr1Cr2Fe0.8,1.2,46.5,100.0,0.8,122.75951521436946,0.0184358432168636,-3.9934585083440433,0.7606700201921809,67.63011980556266,1.4570406207454847,2091.5057013108385,-2.26187075750029,0.42351771290742635,-0.7030199861338472
AB2,Zr1Cr2Ni0.8,1.4,37.9,100.0,1.0,101.56773415516548,0.0462816652571173,-3.0730093950845307,0.8976953667129283,68.07150573350425,1.4468093526671164,2072.7733295145426,-1.6672736665420462,0.2237865861858118,-0.853133075904691
AB2,Zr1Cr1Fe1.2,1.4,34.0,120.0,7.0,102.6595932796336,0.2545178258069306,-1.3683844029810368,0.9254304182161368,70.2445960061189,1.4650874429980674,2039.8143022468762,-2.245668036424631,0.39795113165572865,-0.7190061007838457
AB2,Zr1Cr1Fe1.6,1.2,29.1,30.0,2.5,103.61026996219287,2.0599254873958057,0.7226698109802127,0.7784287776064093,68.86154887542402,1.458835948078037,2017.8372298310933,-2.207002447080539,0.3863200785315231,-0.6979122906554353
AB2,Zr1Cr1Fe1.8,1.3,19.0,23.0,6.0,79.05365047636388,6.318756191293226,1.843522383614964,0.8381289416973708,68.26508880205267,1.4561398959797915,2008.3592836825633,-2.1893788425823617,0.38152508321878775,-0.6874547944158712
AB2,Zr1Cr1Fe1Co0.8,1.1,20.0,0.0,10.0,92.36390115152074,20.926699927688897,3.041025852152952,0.714925641961324,68.73181420190936,1.446002177086206,1998.1449456966407,-1.8049012015044776,0.3029344406975484,-0.35652027243724715
AB2,Zr1Cr1Fe1Cu0.8,1.2,28.0,23.0,3.0,103.68071967178764,3.237801267487753,1.1748944782909256,0.792409604476779,69.52548943809552,1.444584534971523,1911.294579737089,-1.695416268165877,0.1544507268870572,-0.9034209654056594
AB2,Zr1Mn0.8Cr1Fe1,1.4,32.0,23.0,0.6,103.8062658849606,0.6546556030591566,-0.4236459784827751,0.9008262458038264,68.1381442499529,1.456307511137889,1956.1390399501042,-2.1988287885455846,0.3922778661767798,-0.7558075020211964
AB2,Zr1Cr1Fe1Ni0.8,1.1,21.0,0.0,8.0,94.16964231493668,17.371038036919114,2.8548043387966886,0.7143686071008327,68.69368809008152,1.44607703558193,1990.6901043989055,-1.5878207232479464,0.1823240057839925,-0.8294018984982329
AB2,Zr1Cr1Fe1.4,1.7,21.0,23.0,1.0,70.9100118183353,1.0588798903699246,0.057211642217111,1.1172224442506744,69.5181875331014,1.4618040126809424,2028.2714334171471,-2.210184035764446,0.39293675885566126,-0.6902258792309017
AB2,Zr1Cr0.6Fe1.4,1.5,29.9,20.0,3.0,111.12960265754012,3.685265379173311,1.3043425391061545,1.0102160381919263,71.33485563159898,1.4682117753396158,2012.5404055917747,-2.2168857665195447,0.3848148947031278,-0.7058834410819095
AB2,Zr1Cr1Fe1.5,1.5,23.0,23.0,1.5,81.03444765498786,1.5969977784509388,0.4681254781554763,0.9797800338409476,69.1817906736315,1.460283469229156,2022.9259770137223,-2.1967471896702584,0.3904324544323311,-0.6803356007963769
